Bearing_C_d,Bearing_C_D,Bearing_C_C_0,Bearing_C_C,Bearing_C_Name,Bearing_D_d,Bearing_D_D,Bearing_D_C_0,Bearing_D_C,Bearing_D_Name,f_s_D,L_10_D,f_s_C,L_10_C,P_d_0,P_c_0,P_d,P_c
60.0,130.0,177000.0,151000.0,HR 31312 J,80.0,170.0,330000.0,276000.0,HB 30316 J,35.81111029736058,83440.40972366699,46.458456297048976,69883.61762505694,9215.017274243026,3809.8553871072763,9215.017274243026,5316.971515252753
60.0,130.0,177000.0,151000.0,HR 31312 J,80.0,170.0,505000.0,385000.0,HB 32316 J,55.762148249211016,268140.7544428109,45.78471515401863,68933.20944508268,9056.322538777822,3865.9189951182716,9056.322538777822,5338.85833994129
60.0,130.0,249000.0,196000.0,HR 32312 C,65.0,140.0,340000.0,267000.0,HR 32313 J,36.908276279095006,74791.74924339692,52.403313762271715,73012.67332926411,9212.02598108266,4751.607906507432,9212.02598108266,6811.403313573816
60.0,130.0,249000.0,196000.0,HR 32312 C,70.0,150.0,390000.0,312000.0,HB 32314 J,44.25257195907554,145689.53142536763,50.004245731482555,65936.44034568038,8813.047078047106,4979.57716104955,8813.047078047106,7022.931332761249
60.0,130.0,249000.0,196000.0,HR 32312 C,75.0,160.0,300000.0,253000.0,HB 30315 J,32.39630987480203,61420.88024332436,52.559769036701375,73085.75579834079,9260.313941907967,4737.46374011135,9260.313941907967,6809.35926893541
60.0,130.0,249000.0,196000.0,HR 32312 C,75.0,160.0,445000.0,340000.0,HB 32315 J,48.844557840543196,173693.52489847422,52.07719678083529,72858.60472585083,9110.533899247008,4781.36334887429,9110.533899247008,6815.721187754858
60.0,130.0,249000.0,196000.0,HR 32312 C,80.0,140.0,385000.0,256000.0,HB 33216 J,41.87244278349889,65417.17397980857,48.32053433599934,52787.31187596465,9194.591344733319,5153.088711076032,9194.591344733319,7507.532265232937
60.0,130.0,249000.0,196000.0,HR 32312 C,80.0,170.0,330000.0,276000.0,HB 30316 J,35.822738741474566,83530.75875814098,52.403313762271715,73012.67332926411,9212.02598108266,4751.607906507432,9212.02598108266,6811.403313573816
60.0,130.0,249000.0,196000.0,HR 32312 C,80.0,170.0,505000.0,385000.0,HB 32316 J,55.781165862699694,268445.70602118346,51.89470394083617,72771.3759936322,9053.234943905833,4798.177484235743,9053.234943905833,6818.171096618515
65.0,140.0,205000.0,173000.0,HR 30313 DJ,65.0,140.0,340000.0,267000.0,HR 32313 J,36.810334644175015,74132.22466620967,53.91888499677853,110188.0246300122,9236.536513090427,3802.007404497479,9236.536513090427,5313.807089609892
65.0,140.0,205000.0,173000.0,HR 30313 DJ,70.0,150.0,390000.0,312000.0,HB 32314 J,44.12030571176688,144243.0842597229,50.989496226729756,97583.40623042316,8839.467308949019,4020.4358773902677,8839.467308949019,5511.036800663125
65.0,140.0,205000.0,173000.0,HR 30313 DJ,70.0,150.0,390000.0,280000.0,HB 32314 CJ,43.14713669089063,93357.95922855618,44.87832145718287,53192.60977157638,9038.838493362598,4567.907028242682,9038.838493362598,6611.358594746144
65.0,140.0,205000.0,173000.0,HR 30313 DJ,75.0,160.0,300000.0,253000.0,HB 30315 J,32.3116558736775,60887.518008955034,54.16041243789399,110646.3197893849,9284.575237271983,3785.052416930438,9284.575237271983,5307.194585526062
65.0,140.0,205000.0,173000.0,HR 30313 DJ,75.0,160.0,445000.0,340000.0,HB 32315 J,48.71077606573532,172112.80520137705,53.41776020295969,109231.19990186811,9135.555537022678,3837.6749459563016,9135.555537022678,5327.728581534206
65.0,140.0,205000.0,173000.0,HR 30313 DJ,80.0,140.0,385000.0,256000.0,HB 33216 J,41.76071457716191,64837.1411349274,50.15865539535189,81118.58311526694,9219.19090461514,4087.0314083219414,9219.19090461514,5825.188671325643
65.0,140.0,205000.0,173000.0,HR 30313 DJ,80.0,170.0,330000.0,276000.0,HB 30316 J,35.72767774287575,82794.17231766596,53.91888499677853,110188.0246300122,9236.536513090427,3802.007404497479,9236.536513090427,5313.807089609892
65.0,140.0,205000.0,173000.0,HR 30313 DJ,80.0,170.0,505000.0,385000.0,HB 32316 J,55.62569958338225,265959.8776980828,53.13868946717934,108694.88446037259,9078.537506625173,3857.8294281535964,9078.537506625173,5335.601322893343
65.0,140.0,205000.0,173000.0,HR 30313 DJ,80.0,170.0,530000.0,365000.0,HB 32316 CJ,59.44555349525703,236476.4515094602,44.5459103158161,53199.69248971585,8915.721510479114,4601.993730661609,8915.721510479114,6611.094522327344
65.0,140.0,205000.0,173000.0,HR 31313 J,65.0,140.0,340000.0,267000.0,HR 32313 J,36.810334644175015,74132.22466620967,53.91888499677853,110188.0246300122,9236.536513090427,3802.007404497479,9236.536513090427,5313.807089609892
65.0,140.0,205000.0,173000.0,HR 31313 J,70.0,150.0,390000.0,312000.0,HB 32314 J,44.12030571176688,144243.0842597229,50.989496226729756,97583.40623042316,8839.467308949019,4020.4358773902677,8839.467308949019,5511.036800663125
65.0,140.0,205000.0,173000.0,HR 31313 J,70.0,150.0,390000.0,280000.0,HB 32314 CJ,43.14713669089063,93357.95922855618,44.87832145718287,53192.60977157638,9038.838493362598,4567.907028242682,9038.838493362598,6611.358594746144
65.0,140.0,205000.0,173000.0,HR 31313 J,75.0,160.0,300000.0,253000.0,HB 30315 J,32.3116558736775,60887.518008955034,54.16041243789399,110646.3197893849,9284.575237271983,3785.052416930438,9284.575237271983,5307.194585526062
65.0,140.0,205000.0,173000.0,HR 31313 J,75.0,160.0,445000.0,340000.0,HB 32315 J,48.71077606573532,172112.80520137705,53.41776020295969,109231.19990186811,9135.555537022678,3837.6749459563016,9135.555537022678,5327.728581534206
65.0,140.0,205000.0,173000.0,HR 31313 J,80.0,140.0,385000.0,256000.0,HB 33216 J,41.76071457716191,64837.1411349274,50.15865539535189,81118.58311526694,9219.19090461514,4087.0314083219414,9219.19090461514,5825.188671325643
65.0,140.0,205000.0,173000.0,HR 31313 J,80.0,170.0,330000.0,276000.0,HB 30316 J,35.72767774287575,82794.17231766596,53.91888499677853,110188.0246300122,9236.536513090427,3802.007404497479,9236.536513090427,5313.807089609892
65.0,140.0,205000.0,173000.0,HR 31313 J,80.0,170.0,505000.0,385000.0,HB 32316 J,55.62569958338225,265959.8776980828,53.13868946717934,108694.88446037259,9078.537506625173,3857.8294281535964,9078.537506625173,5335.601322893343
65.0,140.0,205000.0,173000.0,HR 31313 J,80.0,170.0,530000.0,365000.0,HB 32316 CJ,59.44555349525703,236476.4515094602,44.5459103158161,53199.69248971585,8915.721510479114,4601.993730661609,8915.721510479114,6611.094522327344
